Day,Country Name,Operator Name,Attempts,Answered,A-Release %,NER,ASR,ConV Time (Min),ACT (Sec),CST (Sec)
26-10-2021,Egypt,Egypt-EtisalatMisr-EGYEM,"20,960","8,435",2.03%,98.33%,40.24%,"32,441",231,3.51
26-10-2021,UAE,UAE-Etisalat-ARETC,"18,821","9,099",19.95%,97.84%,48.34%,"31,662",209,3.57
26-10-2021,Yemen,Yemen-Mtn-YEMSP,"4,503",968,5.17%,97.89%,21.50%,"14,421",894,6.9
26-10-2021,Bangladesh,Bangladesh-Grameen-BGDGP,"11,464","3,071",7.60%,97.99%,26.79%,"12,429",243,2.75
26-10-2021,Egypt,Egypt-Mobinil-EGYAR,"8,834","2,885",2.02%,97.87%,32.66%,"11,187",233,3.6
26-10-2021,Bahrain,Bahrain-Batelco-BHRBT,"7,404","3,412",0.90%,98.53%,46.08%,"8,496",149,5.42
26-10-2021,Egypt,Egypt-Vodafone-EGYMS,"6,566","2,265",1.61%,98.48%,34.50%,"8,142",216,3.78
26-10-2021,India,India-Idea,"6,281","2,177",11.12%,98.11%,34.66%,"7,902",218,3.96
26-10-2021,Yemen,Yemen-Sabafon-YEMSA,"2,537",443,5.07%,96.06%,17.46%,"6,383",865,9.45
26-10-2021,Jordan,Jordan-Orange-JORMC,"3,604","1,267",2.19%,96.67%,35.16%,"4,611",218,3.42
26-10-2021,Jordan,Jordan-Zain-JORFL,"2,337",923,2.22%,96.53%,39.50%,"3,770",245,3.26
26-10-2021,India,India-Tata,"2,617",835,6.40%,98.51%,31.91%,"3,513",252,3.95
26-10-2021,United Kingdom,UK-T-Mobile-GBRME,"1,468",581,0.15%,84.95%,39.58%,"2,687",277,3.26
26-10-2021,Bangladesh,Bangladesh-Banglalink-BGDBL,"3,539",775,6.22%,97.65%,21.90%,"2,315",179,2.71
26-10-2021,Sudan,Sudan-Mtn-SDNBT,"1,464",341,12.78%,95.97%,23.29%,"2,312",407,4.99
26-10-2021,Bahrain,Bahrain-Zain-BHRMV,"2,144",912,1.19%,98.74%,42.54%,"2,015",133,5.09
26-10-2021,India,India-Bpl,"1,118",470,14.79%,98.30%,42.04%,"1,707",218,3.93
