Hour,Country Name,Operator Name,Attempts,Answered,A-Release %,NER,ASR,ConV Time (Min),ACT (Sec),CST (Sec)
27-10-2021 12:00,UAE,UAE-Etisalat-ARETC,"1,343",699,21.68%,97.47%,52.05%,"2,132",183,3.68
27-10-2021 11:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,565",594,1.68%,98.98%,37.96%,"2,078",210,3.42
27-10-2021 12:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,530",604,1.38%,98.30%,39.48%,"1,923",191,3.47
27-10-2021 11:00,UAE,UAE-Etisalat-ARETC,"1,341",669,19.92%,98.43%,49.89%,"1,888",169,3.58
27-10-2021 10:00,UAE,UAE-Etisalat-ARETC,"1,235",643,21.45%,97.81%,52.06%,"1,859",173,3.56
27-10-2021 09:00,UAE,UAE-Etisalat-ARETC,"1,019",551,21.02%,97.84%,54.07%,"1,589",173,3.65
27-10-2021 00:00,Egypt,Egypt-EtisalatMisr-EGYEM,419,182,1.34%,98.09%,43.44%,"1,249",412,3.63
27-10-2021 08:00,UAE,UAE-Etisalat-ARETC,768,357,20.45%,98.70%,46.48%,"1,182",199,3.76
27-10-2021 10:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,216",399,2.50%,99.01%,32.81%,"1,162",175,3.36
27-10-2021 01:00,Egypt,Egypt-EtisalatMisr-EGYEM,280,118,2.28%,98.21%,42.14%,"1,071",544,3.5
27-10-2021 12:00,Bangladesh,Bangladesh-Grameen-BGDGP,915,261,7.04%,98.03%,28.52%,930,214,2.29
27-10-2021 10:00,Yemen,Yemen-Mtn-YEMSP,186,42,6.82%,99.46%,22.58%,883,"1,262",7.46
27-10-2021 12:00,Yemen,Yemen-Mtn-YEMSP,190,43,10.00%,97.37%,22.63%,831,"1,160",7.39
27-10-2021 11:00,Bangladesh,Bangladesh-Grameen-BGDGP,617,211,11.58%,97.73%,34.20%,831,236,2.64
27-10-2021 08:00,Bangladesh,Bangladesh-Grameen-BGDGP,618,210,10.13%,98.38%,33.98%,808,231,2.11
27-10-2021 11:00,Egypt,Egypt-Mobinil-EGYAR,674,229,1.66%,99.11%,33.98%,775,203,3.79
